code_uic,libelle,fret,code_ligne,geometry
87171728,Loivre,False,082000,POINT (3.990653406713556 49.3459027356685)
87592097,St-Denis-des-Murs,False,713000,POINT (1.551115443571073 45.789077254805)
87473801,Gourland,False,486000,POINT (-3.166769486434049 48.56111050627454)
87491134,Clion-sur-Seugne,False,500000,POINT (-0.502132202455629 45.478514293817376)
87611665,Castelnau-d'Estrétefonds,True,640000,POINT (1.340793501227699 43.786995824264444)
87415661,Pont-de-l'Arche,True,340000,POINT (1.159660444556481 49.316910719141035)
87486449,Les Sables-d'Olonne,False,525000,POINT (-1.781633342822518 46.50018055853339)
87316752,Feuquerolles,False,323000,POINT (1.605334122132452 50.06482552067531)
87723353,St-Priest,True,905000,POINT (4.935082496993139 45.686199454882)
87286542,Tourcoing,True,278000,POINT (3.168343953703256 50.716670418758625)
87192724,Hatrize,False,085000,POINT (5.906485182260789 49.192554477411555)
87474213,Kerhuon,True,420000,POINT (-4.388232631805596 48.40960520129234)
87471391,Pontchaillou,False,441000,POINT (-1.691801073204267 48.11826355635088)
87582718,Portets,False,640000,POINT (-0.425408145119524 44.69292541615239)
87783431,St-Rome-de-Cernon,False,722000,POINT (2.967445456514812 44.01399346927122)
87342295,Steenbecque,False,301000,POINT (2.509873716892215 50.680560430675435)
87595223,Razac,False,621000,POINT (0.599372607183735 45.1660618537728)
87575480,Montmorillon,True,604000,POINT (0.873793055001783 46.417365464601986)
87381236,Trie-Château,False,330000,POINT (1.818143929978402 49.28265560151142)
87381558,Juziers,False,334000,POINT (1.845818060945135 48.992206806954705)
87415125,St-Aubin-sur-Scie,False,350000,POINT (1.066577283738473 49.870788431390196)
87761841,Die,False,912000,POINT (5.362579975522967 44.75837755768744)
87315044,Daours,True,272000,POINT (2.459621713897595 49.89955214782996)
87396044,Montbizot,False,430000,POINT (0.190914668124832 48.15133012550716)
87476424,Penthièvre,False,473000,POINT (-3.133098836385789 47.55778349964719)
87718577,Gilley,False,872000,POINT (6.492516253612156 47.05031863966029)
87582551,Labouheyre,False,655000,POINT (-0.921092755817485 44.21058713204266)
87718551,Avoudrey,False,872000,POINT (6.434681229953388 47.129814256587835)
87286187,La Madeleine,True,295000,POINT (3.072112195212926 50.66075064519341)
87756486,Menton,False,930000,POINT (7.492432887755915 43.773815736173454)
87781005,Béziers,True,640000,POINT (3.21957141341165 43.33601686151452)
87481416,La Haie-Fouassière,False,530000,POINT (-1.392252826267001 47.16148711033453)
87393579,Massy-Palaiseau,True,990000,POINT (2.254682428866151 48.72350896024668)
87784793,Mont-Louis-La Cabanasse,False,669000,POINT (2.113228039685356 42.50196419456783)
87317248,Blangy-sur-Ternoise,False,308000,POINT (2.172196777774662 50.424723060536785)
87543157,Nouan-le-Fuzelier,False,590000,POINT (2.032486738063988 47.53653451674089)
87491225,Gauriaguet,False,500000,POINT (-0.399167473147406 45.054522892910995)
87386656,Vernouillet-Verneuil,True,340000,POINT (1.983106924961649 48.98136837005811)
87683615,Champs-St-Bris,False,753000,POINT (3.603700203046034 47.73862329160063)
87345389,Bouchain,True,250000,POINT (3.331897602202126 50.27803690364065)
87191379,Ébersviller,False,177000,POINT (6.411341740804895 49.274759510010014)
87582700,Beautiran,False,640000,POINT (-0.450040817665557 44.701045740107666)
87595504,Périgueux-St-Georges,False,621000,POINT (0.73365899309106 45.17832642923402)
87723320,Vénissieux,False,905000,POINT (4.888899756674497 45.7048116667266)
87172114,Vireux-Molhain,True,205000,POINT (4.723151406525398 50.08345764969385)
87755611,La Crau,False,942000,POINT (6.068743100580356 43.144872238553255)
87713529,Nuits-St-Georges,True,830000,POINT (4.956243348661265 47.13037408066679)
87726778,Bas-Monistrol,False,798000,POINT (4.139526499087439 45.297211325463735)
87345108,Brebières-Sud,False,272000,POINT (3.01371475780044 50.33629839986982)
87753707,Orgon,True,925000,POINT (5.045608936052144 43.78572841762768)
87491506,Châteauneuf-sur-Charente,True,579000,POINT (-0.050141989389215 45.599861596823295)
87485227,Surgères,False,538000,POINT (-0.762032698442094 46.11335235758153)
87743112,St-Martin-du-Mont,False,883000,POINT (5.303176213411803 46.095864669711005)
87313338,Hargicourt-Pierrepont,False,232000,POINT (2.531831292120172 49.71365379569987)
87575217,Jaunay-Clan,True,570000,POINT (0.381853882075923 46.681980615962054)
87141531,Bainville-sur-Madon,False,040000,POINT (6.099540603673362 48.58599515015312)
87471326,Corps-Nuds,False,466000,POINT (-1.57534524472969 47.98516000839267)
87113209,Pantin,True,001000,POINT (2.400433570791011 48.89808181606141)
87746107,Grésy-sur-Aix,False,897000,POINT (5.92191449675076 45.724133502082466)
87214528,Entzheim,False,110000,POINT (7.629368989794593 48.547177420033904)
87545137,Étampes,True,570000,POINT (2.15774282377926 48.43612239792678)
87171256,Montbré,False,074000,POINT (4.038904570928977 49.1936479746578)
87185348,Champagney,False,001000,POINT (6.701655766296654 47.70310904888181)
87115873,Champbenoist-Poigny,False,003000,POINT (3.287148323732938 48.545487095733435)
87213603,Marienthal,False,146000,POINT (7.823622604829141 48.78184110782682)
87345439,Brunémont,False,259000,POINT (3.146083415609879 50.27814084089618)
87295535,Louvroil,False,242000,POINT (3.952936580976274 50.26806472396342)
87175794,Étain,False,085000,POINT (5.63977563192346 49.207571572140864)
87594002,Brive-la-Gaillarde,True,590000,POINT (1.528412956598482 45.15212435534611)
87574244,Menars,False,570000,POINT (1.405640971899315 47.6450295662774)
87394205,Amilly-Ouerray,False,420000,POINT (1.389245105382947 48.438300569987334)
87313270,St-Just-en-Chaussée,True,272000,POINT (2.429367476921711 49.503980961733866)
87116673,La Ferté-Milon,False,072000,POINT (3.120822729407744 49.1796019471487)
87213660,Kurtzenhouse,False,146000,POINT (7.813360095310279 48.741888039323435)
87677005,Hendaye,True,655000,POINT (-1.782112120122548 43.353338543208196)
87297143,Dercy-Froidmont,False,229000,POINT (3.69204086884926 49.702636026472156)
87342113,Vitry-en-Artois,False,272000,POINT (2.980608151219586 50.32717009236221)
87295055,Anor,True,267000,POINT (4.092890353525896 49.98498862661183)
87721332,Villefranche-sur-Saône,True,830000,POINT (4.721077121771565 45.98456081643174)
87497461,Galliéni-Cancéropole,False,648000,POINT (1.420202143406755 43.572133053977105)
87295774,Dompierre,False,267000,POINT (3.871447513718092 50.14620866157654)
87342105,Bully-Grenay,True,301000,POINT (2.733454586897587 50.44851956822758)
87682112,Yerres,False,830000,POINT (2.481357750858454 48.70617437529041)
87342246,Aubigny-en-Artois,False,307000,POINT (2.592783571516056 50.353076781794094)
87486324,Bournezeau,False,525000,POINT (-1.177611060410456 46.65148884517025)
87781542,Ceilhes-Roqueredonde,False,722000,POINT (3.15516344807667 43.81213917028406)
87413351,Bolbec-Nointot,False,340000,POINT (0.484986711748192 49.59160906016885)
87584102,St-Émilion,False,629000,POINT (-0.159157372499575 44.88112135212974)
87723536,St-Maurice-de-Beynost,False,890000,POINT (4.976803928916588 45.82725975427047)
87476671,Questembert,True,470000,POINT (-2.449620953911629 47.68318530396024)
87575290,Vivonne,False,570000,POINT (0.265134204186523 46.42648281502551)
87174409,Mourmelon-le-Petit,True,081000,POINT (4.317833475946311 49.131302171279984)
87721449,Dardilly-le-Jubin,False,775000,POINT (4.761303255176434 45.815248552099064)
87276261,Survilliers-Fosses,True,272000,POINT (2.525645090544201 49.100129323711364)
87212456,Mothern,False,145000,POINT (8.161849013795893 48.93493065181531)
87171645,Sept-Saulx,False,081000,POINT (4.256996396193812 49.15113148624386)
87592147,La Celle-Corrèze,False,713000,POINT (1.826490665267029 45.641272258433666)
87481747,Pornichet,False,516000,POINT (-2.344704844934865 47.27066127766469)
87673616,Villefranque,False,660000,POINT (-1.456459173711389 43.43147515509752)
87682518,Boissise-le-Roi,False,746000,POINT (2.573449862828317 48.52916539411528)
87582767,Preignac,False,640000,POINT (-0.302331668131007 44.578319452597086)
87761874,Luc-en-Diois,False,912000,POINT (5.45483262901752 44.61403808850397)
87413724,Montivilliers,False,361000,POINT (0.18938905311993 49.54285747180295)
87478081,La Fresnais,False,441000,POINT (-1.843170060832678 48.59366306335343)
87725002,Chalon-sur-Saône,True,830000,POINT (4.84261525349419 46.78162575099423)
87396358,Voivres,False,450000,POINT (0.085242272357544 47.930362250699886)
87481424,Le Pallet,False,530000,POINT (-1.346636670470174 47.14381560185321)
87116699,Oulchy-Breny,True,072000,POINT (3.352527882683758 49.1875213601297)
87696187,Mesves-Bulcy,False,750000,POINT (3.00650889658292 47.24213384504647)
87342410,Cuinchy,True,289000,POINT (2.74371760990485 50.52217060297218)
87141523,Pont-St-Vincent,True,040000,POINT (6.103442518555858 48.60210347591801)
87286518,Seclin,True,272000,POINT (3.034959124045115 50.547691397033645)
87144428,Pouxeux,False,060000,POINT (6.581041457042635 48.103949524802864)
87722298,Le Sablon,False,750000,POINT (4.796488261870417 45.60746798085963)
87718296,St-Amour,False,880000,POINT (5.334079345285626 46.43309508853929)
87394007,Chartres,True,420000,POINT (1.481429053718456 48.448669714724964)
87672006,Pau,True,650000,POINT (-0.369693311594974 43.29149855089917)
87214577,Molsheim,True,110000,POINT (7.50011758827412 48.53746862795576)
87317107,Hesdigneul,False,311000,POINT (1.666817540767513 50.660967764643495)
87213462,Riedseltz,False,146000,POINT (7.963036748076368 48.99065848069589)
87781062,Port-la-Nouvelle,True,677000,POINT (3.038711639289964 43.01986737901294)
87590331,Haluchère-Batignolles,False,519000,POINT (-1.522545375703282 47.24914745559534)
87393116,Bellevue,False,420000,POINT (2.229850778453926 48.81884317833351)
87722652,St-Clair-les-Roches,True,830000,POINT (4.769865613059208 45.45025702123065)
87214692,Schirmeck-La Broque,True,110000,POINT (7.215942084030173 48.480003907622034)
87287193,Ste-Marguerite,False,296000,POINT (3.009210140330278 50.74083948961322)
87734269,Brioude,True,790000,POINT (3.378735969942512 45.3006070500728)
87583468,Roumazières-Loubert,False,608000,POINT (0.578810931882468 45.889353970411065)
87381210,Liancourt-St-Pierre,False,330000,POINT (1.905540770738303 49.220573800773785)
87413708,Harfleur-Halte,False,361000,POINT (0.192179896657215 49.50601792491039)
87613463,Najac,False,718000,POINT (1.976477863897994 44.22243921194245)
87576884,Villefranche-sur-Cher,True,593000,POINT (1.768504119815023 47.29494249837047)
87721035,Amplepuis,False,783000,POINT (4.327214357367172 45.970495396753556)
87721050,Régny,False,783000,POINT (4.215337566332648 45.98762679099456)
87271817,Soissons,True,229000,POINT (3.338363138513456 49.3690000790781)
87757666,Juan-les-Pins,False,930000,POINT (7.111663054782704 43.57102644647937)
87576280,Lunery,True,695000,POINT (2.275121559043325 46.93504115875384)
87615625,Carmaux,True,736000,POINT (2.151892510950999 44.048854853588814)
87747568,St-Georges-de-Commiers,False,905000,POINT (5.701065889466311 45.0438123842877)
87672766,Sarrance,False,664000,POINT (-0.599724804591683 43.049721862395046)
87618215,Villenouvelle,False,640000,POINT (1.661154814145698 43.432984894880285)
87694398,Cheilly-lès-Maranges,False,760000,POINT (4.675645790792917 46.892584443898684)
87473082,Plénée-Jugon,True,420000,POINT (-2.354648763203398 48.37664297831964)
87775866,Le Grau-du-Roi,False,819000,POINT (4.140573057483807 43.53706983051031)
87113795,Villiers-sur-Marne-Le Plessis-Trévise,False,001000,POINT (2.542603247392524 48.82311729175017)
87543371,La Chapelle-St-Mesmin,False,570000,POINT (1.827004302449143 47.892988923401056)
87396218,Conlie,False,420000,POINT (-0.010955510941008 48.12722427608064)
87721753,Châtillon-d'Azergues,False,775000,POINT (4.645186321129997 45.8751729300928)
87745679,Évian-les-Bains,True,892000,POINT (6.578426619097869 46.39775287165695)
87590828,Sucé-sur-Erdre,False,519000,POINT (-1.530637455853916 47.34270309288063)
87476770,Drefféac,False,470000,POINT (-2.0499961329748 47.48226659927722)
87615328,Rabastens-Couffouleux,False,718000,POINT (1.731465797600679 43.81990951109669)
87582734,Podensac,False,640000,POINT (-0.358939698001228 44.64885184889056)
87276733,Le Meux-la-Croix-St-Ouen,True,242000,POINT (2.753199415737212 49.35937558802556)
87276436,Domont,False,325000,POINT (2.337670502334621 49.03280583630191)
87761783,Crest,False,912000,POINT (5.015588832153032 44.73033017771876)
87382259,Garches-Marnes-la-Coquette,False,974000,POINT (2.186634102929026 48.83795056164455)
87481267,La Bernerie-en-Retz,False,536000,POINT (-2.033746379782048 47.08315583495845)
87746149,Rumilly,True,897000,POINT (5.94815667386964 45.86289628570887)
87751701,St-Marcel,True,930000,POINT (5.467151073817467 43.28831342755076)
87214775,Bourg-Bruche,False,110000,POINT (7.137239281835364 48.36018907225984)
87144329,Lesseux-Frapelle,False,110000,POINT (7.076664764145711 48.28968029065887)
