code_uic,libelle,fret,code_ligne,geometry,code_postal,Segmentation DRG,Total Voyageurs,Total Voyageurs + Non Voyageurs,Année
87212167,Hochfelden,True,070000,POINT (7.572162441093838 48.755137916505554),67270,B,218011.0,272514.0,2017
87212167,Hochfelden,True,070000,POINT (7.572162441093838 48.755137916505554),67270,B,206165.0,257706.0,2018
87212167,Hochfelden,True,070000,POINT (7.572162441093838 48.755137916505554),67270,B,231331.0,289164.0,2019
87212167,Hochfelden,True,070000,POINT (7.572162441093838 48.755137916505554),67270,B,180350.0,225438.0,2020
87212167,Hochfelden,True,070000,POINT (7.572162441093838 48.755137916505554),67270,B,204202.0,255252.0,2021
87212167,Hochfelden,True,070000,POINT (7.572162441093838 48.755137916505554),67270,B,250777.0,313472.0,2022
87212167,Hochfelden,True,070000,POINT (7.572162441093838 48.755137916505554),67270,B,257703.0,322129.0,2023
87313080,St-Roch (Somme),True,321000,POINT (2.283469712395203 49.89314107133597),80000,C,71790.0,71790.0,2015
87313080,St-Roch (Somme),True,321000,POINT (2.283469712395203 49.89314107133597),80000,C,71955.0,71955.0,2016
87313080,St-Roch (Somme),True,321000,POINT (2.283469712395203 49.89314107133597),80000,C,66779.0,66779.0,2017
87313080,St-Roch (Somme),True,321000,POINT (2.283469712395203 49.89314107133597),80000,C,65454.0,65454.0,2018
87313080,St-Roch (Somme),True,321000,POINT (2.283469712395203 49.89314107133597),80000,C,79609.0,79609.0,2019
87313080,St-Roch (Somme),True,321000,POINT (2.283469712395203 49.89314107133597),80000,C,49519.0,49519.0,2020
87313080,St-Roch (Somme),True,321000,POINT (2.283469712395203 49.89314107133597),80000,C,52807.0,52807.0,2021
87313080,St-Roch (Somme),True,321000,POINT (2.283469712395203 49.89314107133597),80000,C,69003.0,69003.0,2022
87313080,St-Roch (Somme),True,321000,POINT (2.283469712395203 49.89314107133597),80000,C,72582.0,72582.0,2023
87681825,Villeneuve-St-Georges,False,830000,POINT (2.446378941339316 48.73143575161089),94190,B,18012745.0,18012745.0,2015
87681825,Villeneuve-St-Georges,False,830000,POINT (2.446378941339316 48.73143575161089),94190,B,18187384.0,18187384.0,2016
87681825,Villeneuve-St-Georges,False,830000,POINT (2.446378941339316 48.73143575161089),94190,B,18338319.0,18338319.0,2017
87681825,Villeneuve-St-Georges,False,830000,POINT (2.446378941339316 48.73143575161089),94190,B,18167340.0,18167340.0,2018
87681825,Villeneuve-St-Georges,False,830000,POINT (2.446378941339316 48.73143575161089),94190,B,17889110.0,17889110.0,2019
87681825,Villeneuve-St-Georges,False,830000,POINT (2.446378941339316 48.73143575161089),94190,B,9348272.0,9348272.0,2020
87681825,Villeneuve-St-Georges,False,830000,POINT (2.446378941339316 48.73143575161089),94190,B,14720746.0,14720746.0,2021
87681825,Villeneuve-St-Georges,False,830000,POINT (2.446378941339316 48.73143575161089),94190,B,14780961.0,14780961.0,2022
87681825,Villeneuve-St-Georges,False,830000,POINT (2.446378941339316 48.73143575161089),94190,B,15726701.0,15726701.0,2023
87613356,Caussade,True,590000,POINT (1.53304724483883 44.16128580814777),82300,C,104795.0,104795.0,2015
87613356,Caussade,True,590000,POINT (1.53304724483883 44.16128580814777),82300,C,99606.0,99606.0,2016
87613356,Caussade,True,590000,POINT (1.53304724483883 44.16128580814777),82300,C,102636.0,102636.0,2017
87613356,Caussade,True,590000,POINT (1.53304724483883 44.16128580814777),82300,C,81556.0,81556.0,2018
87613356,Caussade,True,590000,POINT (1.53304724483883 44.16128580814777),82300,C,90861.0,90861.0,2019
87613356,Caussade,True,590000,POINT (1.53304724483883 44.16128580814777),82300,C,77676.0,77676.0,2020
87613356,Caussade,True,590000,POINT (1.53304724483883 44.16128580814777),82300,C,115581.0,115581.0,2021
87613356,Caussade,True,590000,POINT (1.53304724483883 44.16128580814777),82300,C,155774.0,155774.0,2022
